epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
13,8-16,0.802,0.735,0.0193,0.1045,5070,4066,161187
13,16-32,0.8785,0.8046,0.0094,0.2422,7487,6577,172827
13,32-64,0.9286,0.8582,0.0051,0.4609,7834,7275,133635
13,64-128,0.9521,0.898,0.003,0.6582,6678,6358,90715
13,128-9999,0.973,0.9361,0.001,0.8511,6709,6528,68302
14,0-8,0.5952,0.66,0.0356,0.0519,2557,1522,74052
14,8-16,0.799,0.7354,0.019,0.1067,5070,4051,159412
14,16-32,0.8791,0.8039,0.0094,0.2451,7487,6582,170340
14,32-64,0.9275,0.8595,0.005,0.4668,7834,7266,130811
14,64-128,0.9512,0.8983,0.0031,0.6602,6678,6352,88363
14,128-9999,0.973,0.9361,0.001,0.854,6709,6528,66137
