size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0-8,0.6019,0.7007,0.0183,0.1546,2557,1539,55654
8-16,0.846,0.784,0.0102,0.2943,5070,4289,101297
16-32,0.937,0.8396,0.0061,0.4466,7487,7015,139477
32-64,0.9674,0.8858,0.0033,0.6524,7834,7579,101988
64-128,0.9795,0.9193,0.0021,0.811,6678,6541,55818
128-9999,0.9845,0.9479,0.0013,0.8986,6709,6605,34589
