size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0-8,0.6304,0.707,0.017,0.1521,2557,1612,55282
8-16,0.8507,0.7879,0.0095,0.3052,5070,4313,94358
16-32,0.942,0.8464,0.0061,0.4575,7487,7053,128092
32-64,0.9737,0.8897,0.0031,0.6624,7834,7628,95231
64-128,0.9859,0.9232,0.0022,0.8156,6678,6584,51888
128-9999,0.9878,0.9503,0.0012,0.9031,6709,6627,31554
