epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10948.2,1.56265,1.17515,0.00155,0.59231,0.50358,0.53365,0.33892,1.48759,1.2229,0.00233,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11290.9,1.56764,1.17059,0.00155,0.6023,0.50237,0.53234,0.33752,1.48432,1.22763,0.00233,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11626.4,1.54595,1.14707,0.00156,0.59902,0.5082,0.53425,0.3396,1.48798,1.21693,0.00233,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11967,1.5502,1.14709,0.00154,0.59644,0.51424,0.5361,0.33895,1.49181,1.21573,0.00234,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12305.7,1.55014,1.14595,0.00155,0.60652,0.50117,0.53466,0.33659,1.49902,1.20974,0.00235,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12647.9,1.54922,1.1318,0.00153,0.60732,0.50217,0.53356,0.33881,1.48752,1.21675,0.00232,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12988.7,1.53876,1.12223,0.00154,0.59669,0.51885,0.54179,0.34234,1.4914,1.21307,0.00234,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13326.9,1.54108,1.11841,0.00152,0.61045,0.51375,0.53702,0.34002,1.48719,1.21393,0.00232,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13667.2,1.53722,1.10552,0.00151,0.61732,0.51344,0.54142,0.34167,1.48598,1.19822,0.00232,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14005.2,1.53227,1.09763,0.00151,0.60394,0.51342,0.53958,0.33956,1.49848,1.20562,0.00235,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14343.7,1.5293,1.09613,0.00151,0.60044,0.51058,0.53764,0.33835,1.49013,1.21239,0.00233,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14683.9,1.53158,1.09045,0.0015,0.60392,0.51709,0.53573,0.33887,1.48477,1.21162,0.00232,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,15019.5,1.52522,1.08546,0.00151,0.61265,0.50721,0.54009,0.34184,1.49054,1.21006,0.00233,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15358.5,1.52709,1.08129,0.00148,0.60857,0.50981,0.53842,0.34047,1.49213,1.20775,0.00233,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,15698.5,1.52204,1.07112,0.00149,0.613,0.50783,0.5418,0.34205,1.49469,1.203,0.00233,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,16039.6,1.52742,1.0744,0.00148,0.61155,0.51081,0.54032,0.34065,1.50031,1.20582,0.00235,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,16381,1.51856,1.06251,0.00147,0.6027,0.52475,0.54311,0.34473,1.49147,1.20602,0.00233,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,16720.2,1.50414,1.04618,0.00149,0.60665,0.51711,0.54088,0.34176,1.49456,1.2018,0.00233,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,17062.7,1.50777,1.04453,0.00147,0.60849,0.51643,0.54101,0.343,1.48602,1.20268,0.00232,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,17408.3,1.50906,1.03882,0.00147,0.6085,0.51198,0.54146,0.34202,1.49509,1.20054,0.00233,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,17754.7,1.50487,1.03793,0.00147,0.61015,0.51463,0.54198,0.34181,1.49284,1.20177,0.00234,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,18096.1,1.50558,1.0303,0.00145,0.61047,0.51648,0.54288,0.3424,1.4961,1.19763,0.00233,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,18438.9,1.49424,1.01633,0.00146,0.61408,0.51334,0.541,0.34109,1.49633,1.19429,0.00233,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,18781.3,1.49858,1.01803,0.00146,0.61454,0.52515,0.54908,0.34721,1.4972,1.18869,0.00233,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,19119.2,1.48489,1.00002,0.00146,0.62179,0.5116,0.54325,0.34348,1.49565,1.19802,0.00233,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,19461.7,1.49564,1.00897,0.00144,0.62741,0.50835,0.54136,0.34059,1.49453,1.19957,0.00233,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,19803.9,1.49112,1.00301,0.00143,0.61532,0.51672,0.54449,0.34232,1.5005,1.19444,0.00234,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,20143.2,1.48847,0.98932,0.00144,0.6147,0.51662,0.54312,0.34279,1.49851,1.19548,0.00234,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,20484.9,1.48205,0.98651,0.00144,0.61088,0.52015,0.54199,0.34245,1.49768,1.20591,0.00233,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,20826,1.47885,0.98242,0.00143,0.61741,0.51889,0.54578,0.34518,1.49701,1.19663,0.00233,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,21167.3,1.47065,0.9692,0.00143,0.61182,0.51886,0.54431,0.34394,1.49664,1.1954,0.00233,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,21508.3,1.47169,0.96513,0.00142,0.62162,0.51535,0.5417,0.34196,1.5007,1.19524,0.00234,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,21852.6,1.47862,0.97328,0.0014,0.6176,0.50797,0.53964,0.34131,1.50383,1.19944,0.00234,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,22192.7,1.47214,0.96109,0.00141,0.62233,0.51274,0.54111,0.34155,1.50275,1.19948,0.00234,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,22531.3,1.46197,0.95498,0.0014,0.61648,0.51275,0.54,0.3413,1.50026,1.19624,0.00233,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,22870.2,1.45828,0.9462,0.0014,0.60746,0.52179,0.54058,0.34186,1.50317,1.20557,0.00234,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,23209.3,1.46438,0.94885,0.0014,0.60642,0.52482,0.54053,0.34096,1.50792,1.20714,0.00235,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,23551.6,1.4575,0.93762,0.0014,0.62236,0.51578,0.54124,0.34275,1.50382,1.20644,0.00234,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,23889.5,1.45468,0.93678,0.0014,0.60974,0.51273,0.5375,0.34115,1.5026,1.21375,0.00234,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,24228.1,1.4554,0.93444,0.00139,0.61794,0.51408,0.54039,0.34168,1.5043,1.20609,0.00235,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,24570.8,1.451,0.92411,0.00138,0.61456,0.51799,0.53915,0.34095,1.50636,1.21026,0.00234,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,24910.7,1.45073,0.921,0.00137,0.6083,0.51788,0.53814,0.34069,1.51128,1.21071,0.00235,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,25251.3,1.44004,0.91355,0.00138,0.61671,0.51424,0.53935,0.34088,1.51168,1.21388,0.00236,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,25589.6,1.44154,0.91224,0.00139,0.62682,0.51101,0.5389,0.34124,1.50793,1.21294,0.00234,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,25926.1,1.4374,0.90682,0.00138,0.61813,0.51764,0.54197,0.34317,1.50823,1.21151,0.00235,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,26265.2,1.43555,0.90158,0.00137,0.61936,0.51089,0.53927,0.34151,1.51046,1.2112,0.00235,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,26607.4,1.43078,0.89874,0.00135,0.61832,0.51185,0.53896,0.34135,1.50902,1.2135,0.00235,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,26949.1,1.42867,0.89129,0.00136,0.62641,0.5077,0.53983,0.34113,1.51264,1.21678,0.00235,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,27290.8,1.43192,0.89466,0.00135,0.61342,0.51582,0.53831,0.34024,1.51397,1.22207,0.00236,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,27630.9,1.42356,0.88213,0.00135,0.61219,0.51973,0.53858,0.34078,1.51595,1.22324,0.00236,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,27968,1.42129,0.88218,0.00134,0.61718,0.51411,0.53723,0.33968,1.51606,1.22591,0.00236,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,28307.8,1.41265,0.87298,0.00135,0.62308,0.51099,0.53765,0.33915,1.5161,1.22687,0.00236,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,28646.7,1.41932,0.87454,0.00134,0.61721,0.51175,0.53588,0.33837,1.51578,1.23258,0.00236,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,28985.8,1.41172,0.86705,0.00134,0.60565,0.51639,0.53498,0.33819,1.51738,1.23191,0.00237,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,29327.1,1.41441,0.86613,0.00133,0.60513,0.51766,0.53394,0.33765,1.51624,1.23442,0.00236,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,29663.2,1.40292,0.85604,0.00134,0.60974,0.51889,0.53398,0.33743,1.51723,1.23424,0.00236,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,30000.1,1.41072,0.8597,0.00132,0.61513,0.51323,0.53496,0.33834,1.51658,1.23561,0.00236,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,30340.8,1.40975,0.86003,0.00132,0.60719,0.51744,0.53285,0.33648,1.51814,1.238,0.00236,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,30680.2,1.40605,0.8565,0.00132,0.61142,0.51728,0.53351,0.33732,1.51854,1.2404,0.00236,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,30976,1.36047,0.79723,0.00143,0.62111,0.50465,0.53161,0.33635,1.52092,1.24634,0.00237,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,31270.5,1.34728,0.78005,0.0014,0.61677,0.50703,0.52917,0.33397,1.52469,1.25096,0.00238,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,31564.9,1.34229,0.77292,0.0014,0.62022,0.50629,0.52971,0.33393,1.52681,1.25242,0.00238,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,31858.1,1.3406,0.76857,0.00139,0.61936,0.5055,0.52857,0.33361,1.52926,1.25579,0.00238,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,32150.5,1.34001,0.76665,0.00139,0.61779,0.50568,0.52876,0.33392,1.5305,1.25737,0.00239,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,32444.8,1.33576,0.76416,0.00138,0.6139,0.50604,0.52722,0.33303,1.52941,1.25958,0.00239,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,32736.3,1.32714,0.75137,0.00138,0.6124,0.50815,0.52698,0.33299,1.52924,1.26371,0.00239,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,33028.6,1.32848,0.75187,0.00137,0.61973,0.50284,0.52675,0.33296,1.52898,1.26701,0.00239,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,33319.8,1.32958,0.75012,0.00136,0.61169,0.50726,0.52641,0.33243,1.5297,1.2703,0.00239,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,33611.6,1.32639,0.74887,0.00136,0.61381,0.50699,0.52633,0.33208,1.5302,1.27222,0.00239,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
