epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0,0-8,0.3353,0.6235,0.2112,0.1045,6382,2140,21911
0,8-16,0.5346,0.6761,0.1202,0.1376,10958,5858,44527
0,16-32,0.6088,0.7566,0.0822,0.1635,13434,8179,39783
0,32-64,0.7586,0.8424,0.0408,0.3057,6098,4626,21851
0,64-128,0.8084,0.8412,0.031,0.2974,1743,1409,10322
0,128-9999,0.75,0.7455,0.0171,0.276,144,108,3686
1,0-8,0.4166,0.6393,0.1184,0.103,6382,2659,18799
1,8-16,0.6174,0.6984,0.0847,0.149,10958,6766,43580
1,16-32,0.6988,0.7768,0.0568,0.2044,13434,9388,42646
1,32-64,0.8491,0.8596,0.0213,0.3684,6098,5178,21773
1,64-128,0.8967,0.8678,0.0176,0.3794,1743,1563,8565
1,128-9999,0.875,0.8021,0.0122,0.1937,144,126,3357
2,0-8,0.4691,0.6486,0.0942,0.1082,6382,2994,24267
2,8-16,0.653,0.7073,0.0683,0.1688,10958,7156,50665
2,16-32,0.7262,0.7863,0.0446,0.251,13434,9756,40957
2,32-64,0.8504,0.8775,0.0165,0.4148,6098,5186,14529
2,64-128,0.8698,0.8892,0.0182,0.3157,1743,1516,4995
2,128-9999,0.8889,0.8522,0.0034,0.2197,144,128,2051
3,0-8,0.5177,0.6434,0.0996,0.1404,6382,3304,20156
3,8-16,0.6928,0.7175,0.0507,0.2227,10958,7592,52192
3,16-32,0.7646,0.7911,0.0329,0.3594,13434,10272,38714
3,32-64,0.8831,0.8792,0.0104,0.7153,6098,5385,15350
3,64-128,0.9266,0.9061,0.0093,0.7559,1743,1615,6006
3,128-9999,0.9167,0.8942,0.0039,0.5381,144,132,2029
4,0-8,0.5403,0.652,0.0956,0.1339,6382,3448,23943
4,8-16,0.7062,0.7186,0.0477,0.212,10958,7738,46030
4,16-32,0.7826,0.7978,0.0292,0.3398,13434,10514,38691
4,32-64,0.8946,0.887,0.0094,0.6602,6098,5455,16254
4,64-128,0.9346,0.9156,0.0085,0.667,1743,1629,6011
4,128-9999,0.9097,0.9126,0.0018,0.5679,144,131,1655
5,0-8,0.5752,0.655,0.0827,0.1582,6382,3671,26694
5,8-16,0.7318,0.7222,0.0466,0.2437,10958,8019,45770
5,16-32,0.8071,0.8019,0.0242,0.4131,13434,10842,37513
5,32-64,0.9034,0.8919,0.0094,0.7417,6098,5509,13807
5,64-128,0.9415,0.9215,0.0081,0.731,1743,1641,5687
5,128-9999,0.9375,0.9182,0.0021,0.644,144,135,1410
6,0-8,0.579,0.6479,0.085,0.1755,6382,3695,32641
6,8-16,0.7291,0.7214,0.0404,0.2629,10958,7989,45676
6,16-32,0.8174,0.8078,0.0226,0.4282,13434,10981,35826
6,32-64,0.9129,0.8966,0.0096,0.6977,6098,5567,12657
6,64-128,0.9334,0.9232,0.0095,0.7593,1743,1627,4107
6,128-9999,0.9028,0.9221,0.0051,0.6658,144,130,987
7,0-8,0.5915,0.653,0.0718,0.15,6382,3775,28263
7,8-16,0.749,0.728,0.0373,0.2568,10958,8207,48910
7,16-32,0.8224,0.8099,0.0186,0.5039,13434,11048,36489
7,32-64,0.9113,0.8957,0.0084,0.8018,6098,5557,11157
7,64-128,0.9426,0.9281,0.0088,0.8291,1743,1643,3842
7,128-9999,0.9444,0.9277,0.0032,0.7886,144,136,944
8,0-8,0.6181,0.6666,0.0712,0.1968,6382,3945,28136
8,8-16,0.7604,0.729,0.0399,0.3191,10958,8332,53882
8,16-32,0.8182,0.8104,0.0193,0.5156,13434,10992,32874
8,32-64,0.9126,0.8978,0.0086,0.7983,6098,5565,10587
8,64-128,0.9363,0.9309,0.0113,0.803,1743,1632,3350
8,128-9999,0.9375,0.9305,0.0045,0.811,144,135,886
9,0-8,0.6103,0.6665,0.067,0.1766,6382,3895,26260
9,8-16,0.7694,0.7302,0.0368,0.291,10958,8431,49464
9,16-32,0.8367,0.8113,0.0174,0.5,13434,11240,35872
9,32-64,0.9118,0.9,0.0088,0.7812,6098,5560,11546
9,64-128,0.9392,0.9322,0.0075,0.8364,1743,1637,3743
9,128-9999,0.9306,0.9324,0.0021,0.8086,144,134,934
10,0-8,0.6192,0.6636,0.0702,0.1561,6382,3952,27303
10,8-16,0.7625,0.7304,0.0365,0.269,10958,8355,45592
10,16-32,0.839,0.8125,0.0191,0.4941,13434,11271,36740
10,32-64,0.9257,0.8967,0.0078,0.8018,6098,5645,13256
10,64-128,0.9512,0.9277,0.0072,0.8481,1743,1658,4318
10,128-9999,0.9444,0.9318,0.0044,0.8376,144,136,913
11,0-8,0.6119,0.6652,0.0695,0.1956,6382,3905,24964
11,8-16,0.7715,0.7286,0.0332,0.3157,10958,8454,50599
11,16-32,0.8374,0.8086,0.0158,0.5581,13434,11250,36562
11,32-64,0.9224,0.9003,0.0074,0.8174,6098,5625,12611
11,64-128,0.9478,0.9331,0.007,0.8481,1743,1652,3568
11,128-9999,0.9375,0.9405,0.0,0.8408,144,135,700
12,0-8,0.6138,0.658,0.0644,0.2095,6382,3917,27348
12,8-16,0.7735,0.7331,0.033,0.3585,10958,8476,48703
12,16-32,0.8391,0.8125,0.0146,0.5947,13434,11273,35075
12,32-64,0.9249,0.8995,0.0075,0.8267,6098,5640,12716
12,64-128,0.953,0.9334,0.0065,0.8623,1743,1661,3712
12,128-9999,0.9444,0.9325,0.0032,0.8279,144,136,633
13,0-8,0.631,0.6667,0.0668,0.1766,6382,4027,27356
13,8-16,0.7709,0.737,0.031,0.3225,10958,8448,48046
13,16-32,0.8487,0.8139,0.0156,0.5698,13434,11402,35623
13,32-64,0.9275,0.9011,0.0082,0.7983,6098,5656,11878
13,64-128,0.9616,0.9302,0.0064,0.8486,1743,1676,3417
13,128-9999,0.9514,0.9379,0.0014,0.8662,144,137,728
14,0-8,0.6384,0.6718,0.0593,0.1842,6382,4074,30670
14,8-16,0.7822,0.7405,0.03,0.3345,10958,8571,48907
14,16-32,0.8457,0.8164,0.0149,0.5718,13434,11361,33928
14,32-64,0.9239,0.9,0.0087,0.8232,6098,5634,11214
14,64-128,0.9552,0.9367,0.0079,0.875,1743,1665,3417
14,128-9999,0.9375,0.9439,0.0011,0.8989,144,135,880
15,0-8,0.6446,0.6689,0.0598,0.2161,6382,4114,28432
15,8-16,0.7798,0.7347,0.0289,0.3381,10958,8545,46944
15,16-32,0.8484,0.8179,0.0154,0.5796,13434,11397,35671
