epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
33,16-32,0.8198,0.7999,0.0177,0.4746,13434,11013,39796
33,32-64,0.9164,0.8975,0.008,0.8276,6098,5588,11305
33,64-128,0.9478,0.9408,0.0061,0.9004,1743,1652,3132
33,128-9999,0.9653,0.9501,0.0066,0.874,144,139,605
34,0-8,0.5395,0.6494,0.069,0.1796,6382,3443,25166
34,8-16,0.7353,0.7224,0.0334,0.3057,10958,8057,49863
34,16-32,0.8187,0.8007,0.0189,0.4805,13434,10999,40259
34,32-64,0.9175,0.8983,0.01,0.8057,6098,5595,10647
34,64-128,0.9449,0.9423,0.0084,0.8872,1743,1647,2487
34,128-9999,0.9514,0.957,0.0065,0.9014,144,137,465
35,0-8,0.5414,0.6453,0.0659,0.1919,6382,3455,24424
35,8-16,0.7334,0.722,0.0336,0.3108,10958,8037,49381
35,16-32,0.818,0.8007,0.0184,0.4785,13434,10989,40619
35,32-64,0.9123,0.8981,0.0086,0.8267,6098,5563,10993
35,64-128,0.9409,0.9422,0.0081,0.8926,1743,1640,2716
35,128-9999,0.9444,0.9525,0.0072,0.9097,144,136,417
36,0-8,0.5398,0.6463,0.0686,0.1779,6382,3445,24664
36,8-16,0.7393,0.7206,0.0326,0.3032,10958,8101,48725
36,16-32,0.8266,0.8005,0.0183,0.4883,13434,11104,40764
36,32-64,0.9152,0.8986,0.0094,0.832,6098,5581,11023
36,64-128,0.9398,0.9424,0.0079,0.9058,1743,1638,2789
36,128-9999,0.9514,0.9533,0.0047,0.8999,144,137,427
37,0-8,0.542,0.6494,0.0648,0.1824,6382,3459,24611
37,8-16,0.7347,0.7192,0.0327,0.3057,10958,8051,49316
37,16-32,0.8204,0.7988,0.0175,0.4883,13434,11021,40694
37,32-64,0.9124,0.8982,0.0092,0.8355,6098,5564,10615
37,64-128,0.9421,0.9417,0.0085,0.9067,1743,1642,2585
37,128-9999,0.9583,0.9555,0.0057,0.9282,144,138,524
38,0-8,0.5428,0.6473,0.0608,0.1956,6382,3464,25346
38,8-16,0.7422,0.7201,0.0322,0.3174,10958,8133,49953
38,16-32,0.8205,0.8006,0.0178,0.4941,13434,11022,39990
38,32-64,0.9103,0.899,0.0092,0.8335,6098,5551,10378
38,64-128,0.9403,0.9418,0.0074,0.9019,1743,1639,2576
38,128-9999,0.9653,0.9514,0.0067,0.9243,144,139,451
39,0-8,0.5389,0.6467,0.0656,0.1883,6382,3439,22347
39,8-16,0.7431,0.7212,0.0329,0.3108,10958,8143,50568
39,16-32,0.8219,0.7999,0.0176,0.4844,13434,11041,41510
39,32-64,0.911,0.8986,0.0104,0.8335,6098,5555,10464
39,64-128,0.9398,0.9425,0.0079,0.9043,1743,1638,2544
39,128-9999,0.9514,0.9525,0.0047,0.9067,144,137,429
40,0-8,0.5403,0.646,0.0606,0.1824,6382,3448,23977
40,8-16,0.7381,0.7193,0.0342,0.2942,10958,8088,49663
40,16-32,0.8217,0.7997,0.0179,0.4727,13434,11039,41088
40,32-64,0.9088,0.8974,0.0094,0.8291,6098,5542,10664
40,64-128,0.9352,0.9421,0.0077,0.9028,1743,1630,2614
40,128-9999,0.9514,0.9526,0.0031,0.9312,144,137,651
41,0-8,0.5447,0.6476,0.0673,0.1836,6382,3476,24170
41,8-16,0.7405,0.7205,0.0329,0.3057,10958,8114,49656
41,16-32,0.8225,0.7994,0.0194,0.4785,13434,11049,40993
41,32-64,0.9101,0.8978,0.0096,0.8257,6098,5550,10270
41,64-128,0.9363,0.9415,0.0091,0.8989,1743,1632,2532
41,128-9999,0.9722,0.9497,0.01,0.9058,144,140,401
42,0-8,0.5407,0.6428,0.0617,0.1859,6382,3451,23193
42,8-16,0.7396,0.7194,0.0324,0.3057,10958,8104,49193
42,16-32,0.8249,0.7981,0.0176,0.4863,13434,11082,41829
42,32-64,0.9113,0.8979,0.0097,0.8355,6098,5557,10661
42,64-128,0.9363,0.9425,0.0096,0.9106,1743,1632,2401
42,128-9999,0.9722,0.9521,0.0075,0.9163,144,140,399
43,0-8,0.5412,0.6425,0.0606,0.1865,6382,3454,23507
43,8-16,0.7395,0.719,0.033,0.3025,10958,8103,49293
43,16-32,0.8218,0.7994,0.0176,0.4922,13434,11040,40684
43,32-64,0.9136,0.8977,0.0088,0.8374,6098,5571,10842
43,64-128,0.9386,0.9419,0.0096,0.9082,1743,1636,2491
43,128-9999,0.9583,0.9546,0.0058,0.9136,144,138,346
44,0-8,0.5421,0.6435,0.0616,0.1883,6382,3460,23215
44,8-16,0.7435,0.7207,0.0325,0.3108,10958,8147,50312
44,16-32,0.8229,0.8007,0.0176,0.4941,13434,11055,41040
44,32-64,0.9134,0.8981,0.0095,0.8291,6098,5570,10326
44,64-128,0.9369,0.942,0.0095,0.9048,1743,1633,2432
44,128-9999,0.9583,0.9548,0.0117,0.9016,144,138,343
45,0-8,0.5431,0.6436,0.0639,0.1883,6382,3466,22735
45,8-16,0.7429,0.7204,0.0325,0.3091,10958,8141,49877
45,16-32,0.8242,0.7998,0.0174,0.4922,13434,11072,41442
45,32-64,0.9129,0.8985,0.0094,0.8301,6098,5567,10325
45,64-128,0.9352,0.9417,0.0095,0.9072,1743,1630,2430
45,128-9999,0.9583,0.9535,0.0055,0.9248,144,138,366
46,0-8,0.5469,0.6462,0.0636,0.1919,6382,3490,23583
46,8-16,0.7421,0.7209,0.0325,0.314,10958,8132,49339
46,16-32,0.8238,0.801,0.018,0.4961,13434,11067,41337
46,32-64,0.9111,0.8976,0.0097,0.832,6098,5556,10294
46,64-128,0.9334,0.9421,0.009,0.9082,1743,1627,2447
46,128-9999,0.9514,0.9518,0.0088,0.918,144,137,340
47,0-8,0.544,0.6452,0.0634,0.1807,6382,3472,23036
47,8-16,0.7445,0.7207,0.0332,0.3025,10958,8158,49644
47,16-32,0.825,0.8002,0.0176,0.4941,13434,11083,40857
47,32-64,0.9137,0.8978,0.0093,0.8355,6098,5572,10361
47,64-128,0.9375,0.9424,0.0099,0.9087,1743,1634,2432
47,128-9999,0.9514,0.9532,0.0091,0.9199,144,137,328
