epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
13,8-16,0.6611,0.7066,0.0617,0.2095,10958,7244,48958
13,16-32,0.7535,0.7869,0.0379,0.314,13434,10123,41082
13,32-64,0.8806,0.8771,0.0175,0.6001,6098,5370,16984
13,64-128,0.93,0.9202,0.0088,0.8091,1743,1621,3875
13,128-9999,0.9097,0.909,0.0072,0.6807,144,131,977
14,0-8,0.4834,0.6447,0.1026,0.1299,6382,3085,24524
14,8-16,0.6681,0.7043,0.0618,0.2018,10958,7321,44637
14,16-32,0.7565,0.7852,0.0391,0.2974,13434,10163,43333
14,32-64,0.8793,0.8774,0.0162,0.5718,6098,5362,17506
14,64-128,0.9231,0.9216,0.0099,0.8066,1743,1609,3133
14,128-9999,0.8889,0.9212,0.0068,0.6914,144,128,592
15,0-8,0.4867,0.6373,0.0916,0.1268,6382,3106,22492
15,8-16,0.6724,0.7056,0.0569,0.2108,10958,7368,49371
15,16-32,0.7601,0.7853,0.037,0.3191,13434,10211,41389
15,32-64,0.8841,0.8809,0.0146,0.606,6098,5391,15293
15,64-128,0.9277,0.9262,0.0127,0.7993,1743,1617,3145
15,128-9999,0.8958,0.9146,0.0092,0.669,144,129,542
16,0-8,0.4848,0.6422,0.0958,0.135,6382,3094,24315
16,8-16,0.6743,0.7066,0.0541,0.2323,10958,7389,47501
16,16-32,0.7713,0.7886,0.0323,0.3557,13434,10362,41297
16,32-64,0.8939,0.8812,0.0143,0.6206,6098,5451,15907
16,64-128,0.9352,0.9247,0.0092,0.7969,1743,1630,3147
16,128-9999,0.9028,0.9163,0.0051,0.6558,144,130,586
17,0-8,0.5114,0.6405,0.0932,0.1294,6382,3264,24815
17,8-16,0.6806,0.7094,0.0542,0.2213,10958,7458,48413
17,16-32,0.7665,0.7911,0.0313,0.3503,13434,10297,40574
17,32-64,0.8898,0.882,0.014,0.648,6098,5426,15390
17,64-128,0.9346,0.9267,0.0112,0.8115,1743,1629,3310
17,128-9999,0.9097,0.9194,0.0037,0.6792,144,131,805
18,0-8,0.4834,0.6425,0.0959,0.1217,6382,3085,20994
18,8-16,0.6774,0.71,0.0552,0.22,10958,7423,46509
18,16-32,0.7721,0.7873,0.0282,0.3503,13434,10372,43321
18,32-64,0.8947,0.8806,0.0119,0.6582,6098,5456,17444
18,64-128,0.9357,0.9199,0.009,0.8359,1743,1631,3106
18,128-9999,0.8958,0.9012,0.0098,0.6567,144,129,813
19,0-8,0.4909,0.6378,0.0978,0.1312,6382,3133,21119
19,8-16,0.6856,0.7063,0.0534,0.224,10958,7513,48003
19,16-32,0.7761,0.789,0.0302,0.3469,13434,10426,44589
19,32-64,0.8905,0.882,0.0114,0.6636,6098,5430,15756
19,64-128,0.9289,0.9284,0.0096,0.8389,1743,1619,2815
19,128-9999,0.8958,0.9228,0.0054,0.687,144,129,747
20,0-8,0.4997,0.6405,0.097,0.1277,6382,3189,23237
20,8-16,0.683,0.7102,0.0515,0.2338,10958,7484,47591
20,16-32,0.7756,0.7916,0.0287,0.3721,13434,10420,42813
20,32-64,0.8946,0.8828,0.013,0.6636,6098,5455,14908
20,64-128,0.9317,0.9299,0.0091,0.8257,1743,1624,2860
20,128-9999,0.9167,0.9332,0.0038,0.6997,144,132,797
21,0-8,0.4981,0.6411,0.0837,0.1277,6382,3179,21390
