size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0-8,0.519,0.6738,0.0223,0.1134,2557,1327,57332
8-16,0.797,0.7502,0.0128,0.2118,5070,4041,121919
16-32,0.9143,0.8144,0.007,0.3448,7487,6845,174050
32-64,0.9558,0.8693,0.0034,0.5689,7834,7488,127781
64-128,0.9739,0.9095,0.0023,0.7558,6678,6504,71815
128-9999,0.9817,0.9439,0.0013,0.881,6709,6586,42364
