size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0-8,0.1299,0.6982,0.2141,0.4488,6382,829,313
8-16,0.3352,0.7652,0.2386,0.5518,10958,3673,1358
16-32,0.5275,0.8362,0.2445,0.6262,13434,7086,1583
32-64,0.798,0.906,0.1114,0.8231,6098,4866,1005
64-128,0.9208,0.9417,0.0192,0.9206,1743,1605,312
128-9999,0.9444,0.9585,0.0233,0.9519,144,136,43
