epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
30,8-16,0.8611,0.7623,0.0166,0.502,10958,9436,45484
30,16-32,0.9043,0.8359,0.0125,0.728,13434,12149,31356
30,32-64,0.9434,0.9111,0.0106,0.874,6098,5753,8754
30,64-128,0.9621,0.9475,0.0119,0.9287,1743,1677,1763
30,128-9999,0.9792,0.9581,0.0032,0.9375,144,141,317
31,0-8,0.7327,0.6782,0.032,0.2673,6382,4676,30103
31,8-16,0.8634,0.7603,0.0161,0.5215,10958,9461,45231
31,16-32,0.9064,0.8352,0.0125,0.731,13434,12177,31356
31,32-64,0.9483,0.9098,0.01,0.873,6098,5783,8859
31,64-128,0.961,0.9467,0.0111,0.9204,1743,1675,1795
31,128-9999,0.9722,0.9552,0.0091,0.9241,144,140,331
32,0-8,0.7308,0.6813,0.0294,0.2728,6382,4664,30645
32,8-16,0.867,0.7625,0.016,0.5312,10958,9501,45449
32,16-32,0.9078,0.8363,0.0132,0.7388,13434,12196,30720
32,32-64,0.9454,0.9106,0.0136,0.8706,6098,5765,8153
32,64-128,0.957,0.9476,0.0148,0.9265,1743,1668,1416
32,128-9999,0.9583,0.9548,0.0081,0.9348,144,138,247
33,0-8,0.7401,0.6808,0.0294,0.2942,6382,4723,31665
33,8-16,0.8617,0.7611,0.016,0.562,10958,9442,45115
33,16-32,0.9061,0.8364,0.0129,0.7549,13434,12173,30303
33,32-64,0.9451,0.9102,0.0132,0.873,6098,5763,8093
33,64-128,0.9627,0.9467,0.0124,0.9224,1743,1678,1687
33,128-9999,0.9583,0.9575,0.0088,0.9351,144,138,339
34,0-8,0.743,0.6812,0.0301,0.2815,6382,4742,30732
34,8-16,0.8673,0.7642,0.0157,0.5581,10958,9504,46222
34,16-32,0.9048,0.8364,0.0126,0.7622,13434,12155,29957
34,32-64,0.9447,0.9091,0.0144,0.8818,6098,5761,7510
34,64-128,0.9604,0.9471,0.0119,0.9268,1743,1674,1429
34,128-9999,0.9514,0.9621,0.008,0.9346,144,137,249
35,0-8,0.7355,0.6812,0.0315,0.2999,6382,4694,29178
35,8-16,0.8658,0.7638,0.0155,0.5659,10958,9487,46345
35,16-32,0.9043,0.8361,0.0127,0.7461,13434,12149,31217
35,32-64,0.9415,0.9095,0.0121,0.876,6098,5741,8079
35,64-128,0.9581,0.9477,0.0109,0.9224,1743,1670,1647
35,128-9999,0.9514,0.9601,0.0122,0.9326,144,137,246
36,0-8,0.7388,0.6839,0.0314,0.2861,6382,4715,30813
36,8-16,0.8669,0.7645,0.0157,0.5566,10958,9499,45582
36,16-32,0.9055,0.8365,0.0131,0.7549,13434,12164,31135
36,32-64,0.9426,0.9112,0.0136,0.8857,6098,5748,7481
36,64-128,0.9541,0.9488,0.0238,0.9307,1743,1663,1259
36,128-9999,0.9653,0.959,0.0133,0.937,144,139,226
37,0-8,0.7366,0.6868,0.0308,0.283,6382,4701,30988
37,8-16,0.8658,0.7647,0.0162,0.5508,10958,9487,44938
37,16-32,0.9058,0.8372,0.0132,0.7534,13434,12169,30434
37,32-64,0.9438,0.9095,0.0144,0.8833,6098,5755,7915
37,64-128,0.9575,0.9485,0.0137,0.9273,1743,1669,1749
37,128-9999,0.9583,0.9575,0.0124,0.9338,144,138,323
38,0-8,0.7377,0.682,0.0317,0.2737,6382,4708,31072
38,8-16,0.8662,0.7627,0.0157,0.543,10958,9492,45639
38,16-32,0.9049,0.8366,0.0137,0.7534,13434,12156,29387
38,32-64,0.9436,0.9108,0.0143,0.8789,6098,5754,7686
38,64-128,0.9575,0.9484,0.0189,0.9219,1743,1669,1536
38,128-9999,0.9653,0.9568,0.0115,0.9365,144,139,260
39,0-8,0.7421,0.6881,0.0292,0.2783,6382,4736,31541
39,8-16,0.8687,0.7651,0.0162,0.5508,10958,9519,46628
39,16-32,0.9049,0.8356,0.0151,0.7476,13434,12156,29205
39,32-64,0.94,0.911,0.0151,0.8823,6098,5732,7532
39,64-128,0.957,0.9485,0.0133,0.9248,1743,1668,1506
39,128-9999,0.9583,0.9582,0.0143,0.9321,144,138,210
40,0-8,0.7429,0.6845,0.0299,0.2766,6382,4741,31828
40,8-16,0.8683,0.7628,0.016,0.5659,10958,9515,45891
40,16-32,0.9042,0.8356,0.0147,0.7661,13434,12147,29465
40,32-64,0.9411,0.9096,0.0147,0.8857,6098,5739,7200
40,64-128,0.9541,0.9483,0.0173,0.9321,1743,1663,1328
40,128-9999,0.9514,0.9583,0.013,0.9336,144,137,230
41,0-8,0.7466,0.683,0.0309,0.2925,6382,4765,31398
41,8-16,0.8656,0.763,0.0165,0.5566,10958,9485,45812
41,16-32,0.9038,0.8348,0.0148,0.7563,13434,12142,28982
41,32-64,0.9419,0.9099,0.0157,0.876,6098,5744,7712
41,64-128,0.957,0.9475,0.0153,0.9238,1743,1668,1502
41,128-9999,0.9514,0.9583,0.0235,0.9346,144,137,213
42,0-8,0.7385,0.6827,0.0303,0.2878,6382,4713,30652
42,8-16,0.866,0.7609,0.0158,0.5698,10958,9490,45236
42,16-32,0.9038,0.8357,0.0133,0.769,13434,12141,30242
42,32-64,0.939,0.9106,0.0162,0.8887,6098,5726,7088
42,64-128,0.9478,0.9482,0.0212,0.9355,1743,1652,1178
42,128-9999,0.9514,0.9576,0.0128,0.9424,144,137,234
43,0-8,0.7446,0.6844,0.03,0.304,6382,4752,31746
43,8-16,0.8664,0.762,0.0158,0.564,10958,9494,45937
43,16-32,0.9025,0.8364,0.0141,0.7661,13434,12124,28945
43,32-64,0.9369,0.9097,0.0187,0.8897,6098,5713,6482
43,64-128,0.9495,0.9485,0.0147,0.9326,1743,1655,1226
43,128-9999,0.9444,0.9605,0.0202,0.9424,144,136,198
44,0-8,0.7374,0.685,0.0288,0.2886,6382,4706,31017
44,8-16,0.8647,0.7619,0.0159,0.5601,10958,9475,45274
44,16-32,0.9032,0.8354,0.0141,0.7647,13434,12134,29624
44,32-64,0.9387,0.9107,0.0161,0.8887,6098,5724,7125
44,64-128,0.9484,0.9487,0.0189,0.9292,1743,1653,1269
44,128-9999,0.9514,0.9596,0.0125,0.9351,144,137,160
45,0-8,0.7427,0.6843,0.0293,0.2974,6382,4740,31780
45,8-16,0.8655,0.7611,0.0159,0.5718,10958,9484,45746
45,16-32,0.9014,0.8358,0.0145,0.7759,13434,12110,29310
45,32-64,0.9344,0.9102,0.018,0.894,6098,5698,6612
45,64-128,0.9449,0.9473,0.0222,0.9351,1743,1647,1124
45,128-9999,0.9514,0.9571,0.0265,0.9399,144,137,151
46,0-8,0.738,0.683,0.0282,0.291,6382,4710,31187
46,8-16,0.865,0.7614,0.016,0.5737,10958,9479,45993
46,16-32,0.9018,0.8354,0.0141,0.7773,13434,12115,29215
46,32-64,0.9374,0.9097,0.0169,0.894,6098,5716,6567
46,64-128,0.9449,0.9477,0.0173,0.9365,1743,1647,1157
46,128-9999,0.9514,0.9616,0.0258,0.9473,144,137,155
47,0-8,0.7391,0.6848,0.0286,0.2893,6382,4717,31990
47,8-16,0.8638,0.7626,0.0156,0.5737,10958,9466,45792
47,16-32,0.9012,0.8355,0.0148,0.7788,13434,12107,28508
47,32-64,0.9359,0.9104,0.0183,0.8931,6098,5707,6336
47,64-128,0.9472,0.9486,0.0211,0.9321,1743,1651,1140
47,128-9999,0.9514,0.9596,0.0233,0.937,144,137,172
48,0-8,0.7427,0.6853,0.0285,0.2918,6382,4740,31910
48,8-16,0.8618,0.7633,0.0157,0.5718,10958,9444,45544
48,16-32,0.8997,0.8363,0.0147,0.7759,13434,12087,28904
48,32-64,0.9351,0.9108,0.019,0.894,6098,5702,6300
48,64-128,0.9438,0.9473,0.0224,0.9355,1743,1645,1025
48,128-9999,0.9514,0.9611,0.0248,0.9458,144,137,161
49,0-8,0.743,0.6858,0.0289,0.2918,6382,4742,31220
49,8-16,0.8639,0.7631,0.0157,0.5718,10958,9467,45996
49,16-32,0.9008,0.8358,0.0144,0.7759,13434,12101,29111
49,32-64,0.9341,0.9108,0.0187,0.8926,6098,5696,6400
49,64-128,0.9432,0.9479,0.0254,0.9365,1743,1644,1023
49,128-9999,0.9514,0.9614,0.0278,0.9443,144,137,144
