size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
0-8,0.6601,0.7203,0.0155,0.1813,2557,1688,52281
8-16,0.8744,0.7987,0.0104,0.335,5070,4433,84013
16-32,0.951,0.8576,0.0057,0.5054,7487,7120,113955
32-64,0.9738,0.8977,0.0031,0.7108,7834,7629,82626
64-128,0.9856,0.9267,0.0023,0.843,6678,6582,43799
128-9999,0.9891,0.9526,0.0016,0.9182,6709,6636,26275
